exacerbate;daha da kötüleştirmek, alevlendirmek
restrain;zapt etmek, bastırmak
stranded;yolda kalmış, sahile vurmuş
slope;yamaç, eğimli yer
hitherto; bugüne kadar
sumptuous; şatafatlı, lüks
replete; tıka basa doldurmak
bead; kolye, tesbih
bare; açık, bomboş
ordained; buyurulmuş, emredilmiş
commoner; halktan olan, sıradan kişi
dismantle; sökmek, çıkarmak
skyrocket; fırlamak
feral; vahşi, öldürücü
machete; pala
malaise; keyifsizlik
cocoon; ipekböceği kozası
lurking; sessizce dinleme
forager; avcı toplayıcı
telltale; muhbir
bulge; tümsek
tax evasion; vergi kaçırma
all-encompassing; herkesi kapsayan
scheme; taslak
elope; aşığıyla kaçmak
youngsters; delikanlı
blockbuster; gişe rekorları kıran
misogynist; kadın düşmanı
lawsuit;duruşma
swerve;birdenbire başka bir tarafa yönelme
disjunction;ayrılma
cozy;rahat,konforlu
infernal;cehennemi
implore;yalvarmak
carnage; kıyım,katliam
predicament; bela
road rage; yol verme kavgası
eminent domain; istimlak hakkı, kamulaştırma
carpooling; araç/yolculuk paylaşımı
congestion;sıkışıklık,izdiham
sound the horn;korna çalmak
courteous;nazik, kibar
purge;temizleme, tasfiye etmek
conscription;zorunlu askerlik
advocacy;savunma, taraftarlık
by descent;soydan gelen
incite; kışkırtmak, teşvik etmek
phlegmatic; soğukkanlı, sakin
confiscate; kanunen el koymak, kamulaştırmak
bewildering; hayret verici
prominence;önem, öne çıkma
napalm; bomba yapımında da kullanılan alüminyum içeren kimyasal
amenity;olanak, tesis
landlord; ev sahibi
renter; kiracı
multi-story; çok katlı
miscellaneous; muhtelif, çeşitli
climb the corporate ladder;iyi mevkilere gelmek, kariyer basamaklarını tırmanmak
payroll;maaş bordrosu
expulsion;sınır dışı etme, uzaklaştırma
a fixer-upper;tadilat-onarım gerektiren gayrimenkul ya da tadilatçı kimse
Equations are more important to me, because politics is for the present but an equation is something for eternity;Gleichungen sind mir wichtiger, denn Politik ist für die Gegenwart, aber eine Gleichung ist etwas für die Ewigkeit.
